deaths,dragonKills,baronKills,firstBloodKill,firstBloodAssist,kills,lane,neutralMinionsKilled,turretTakedowns,turretsLost,visionScore,goldEarned,timeCCingOthers,enemyMissingPings,clearedPings,totalPings,wardsPlaced,wardsKilled,detectorPlaced,position,duration,win
11,0,0,False,False,4,MIDDLE,0,0,9,22,10204,37,14,0,94,10,3,2,SOLO,1874,False
7,0,0,False,False,6,BOTTOM,0,0,9,12,12275,0,3,0,20,9,1,1,CARRY,1874,False
8,0,0,False,False,2,BOTTOM,0,0,9,81,7836,38,13,0,51,36,9,8,SUPPORT,1874,False
2,0,0,False,False,1,TOP,4,2,6,19,10250,42,9,0,40,7,2,1,SOLO,1713,False
6,0,0,True,False,10,JUNGLE,206,2,6,29,13941,33,8,0,69,5,7,1,NONE,1713,False
4,0,0,False,False,3,MIDDLE,3,1,6,13,10685,3,5,0,17,7,1,0,SOLO,1713,False
6,1,0,False,False,2,BOTTOM,8,2,6,13,10363,16,7,0,47,8,2,0,CARRY,1713,False
12,0,0,False,False,0,BOTTOM,0,0,6,56,6445,29,0,0,5,30,3,1,SUPPORT,1713,False
2,0,0,False,False,3,TOP,2,3,5,15,10345,12,6,0,17,8,2,0,SOLO,1713,True
4,2,0,False,False,5,JUNGLE,141,0,5,23,10645,15,5,0,22,11,3,2,NONE,1713,True
3,0,0,False,False,11,MIDDLE,0,4,5,31,12121,36,5,0,17,7,7,3,SOLO,1713,True
2,1,0,False,False,9,BOTTOM,7,6,5,32,13923,55,3,0,28,9,8,0,CARRY,1713,True
5,0,1,False,False,1,BOTTOM,4,1,5,39,8266,32,1,0,36,20,2,3,SUPPORT,1713,True
4,0,0,True,False,14,TOP,10,5,6,27,20861,19,2,0,15,12,6,0,SOLO,2007,True
8,2,0,False,False,1,JUNGLE,163,4,6,35,10551,18,10,0,193,14,8,4,NONE,2007,True
5,0,0,False,False,1,MIDDLE,9,3,6,22,12020,37,13,0,52,13,1,0,CARRY,2007,True
3,0,0,False,False,3,BOTTOM,0,6,6,29,13115,23,13,0,118,17,3,5,SOLO,2007,True
7,0,0,False,False,5,MIDDLE,2,4,6,92,9595,32,0,0,8,36,13,0,SUPPORT,2007,True
8,0,1,False,False,4,TOP,8,1,8,16,13022,19,2,0,9,9,1,0,SOLO,2007,False
3,3,0,False,False,13,JUNGLE,248,0,8,59,16152,4,0,0,114,19,5,6,NONE,2007,False
4,0,0,False,False,4,MIDDLE,0,3,8,16,14057,25,1,0,9,11,3,1,SOLO,2007,False
4,0,0,False,False,3,BOTTOM,8,2,8,16,13143,18,33,0,76,9,0,0,CARRY,2007,False
5,0,0,False,False,3,BOTTOM,0,1,8,102,8963,32,3,0,27,47,13,9,SUPPORT,2007,False
13,0,0,False,True,12,TOP,0,3,4,0,16920,44,4,0,5,0,0,0,SUPPORT,1434,False
16,0,0,False,True,27,TOP,0,4,4,0,20498,3,4,0,11,0,0,0,DUO,1434,False
12,0,0,True,False,19,TOP,0,4,4,0,18459,50,4,0,12,0,0,0,SUPPORT,1434,False
16,0,0,False,True,9,TOP,0,3,4,0,15147,18,1,0,5,0,0,0,SUPPORT,1434,False
15,0,0,False,True,4,JUNGLE,0,3,4,0,14096,66,16,0,16,0,0,0,NONE,1434,False
14,0,0,False,False,2,MIDDLE,0,3,4,0,13757,15,3,0,9,0,0,0,SUPPORT,1434,True
13,0,0,False,False,18,MIDDLE,0,3,4,0,17479,53,0,0,0,0,0,0,DUO,1434,True
12,0,0,False,False,2,MIDDLE,0,1,4,0,14161,64,0,0,16,0,0,0,SUPPORT,1434,True
