missingPings,totalPings,wardsPlaced,wardsKilled,detectorsPlaced,position,cctime,turretTakedowns,turretsLost,duration,champ,win
6,25,6,1,1,DUO,4,3,2,1662,Talon,True
8,34,8,2,1,CARRY,25,6,2,1662,Cassiopeia,True
5,24,35,5,6,SUPPORT,52,6,2,1662,Alistar,True
4,6,9,2,0,SUPPORT,41,7,10,2287,Yone,False
4,56,8,3,2,NONE,12,3,10,2287,Kayn,False
4,16,9,3,3,DUO,46,2,10,2287,KSante,False
0,24,12,1,0,SUPPORT,22,3,10,2287,Caitlyn,False
8,26,42,10,6,SOLO,53,5,10,2287,Velkoz,False
4,6,8,3,0,SOLO,60,8,11,2287,Garen,True
11,24,6,7,3,NONE,29,4,11,2287,Sylas,True
17,74,8,2,0,SOLO,17,4,11,2287,Zed,True
0,14,10,3,0,CARRY,73,3,11,2287,Ashe,True
4,30,41,7,4,SUPPORT,38,1,11,2287,Rakan,True
14,72,4,2,0,DUO,6,0,9,2275,Kassadin,False
4,78,5,7,1,NONE,52,2,9,2275,Rammus,False
12,46,14,4,1,CARRY,95,0,9,2275,Malzahar,False
23,72,15,7,0,DUO,57,1,9,2275,Ashe,False
5,31,31,14,1,SUPPORT,24,0,9,2275,Pantheon,False
12,51,16,2,0,DUO,81,4,4,2275,Chogath,True
6,142,5,6,4,NONE,35,5,4,2275,Volibear,True
4,49,13,2,0,DUO,17,6,4,2275,Yasuo,True
4,58,15,5,1,CARRY,2,5,4,2275,Kaisa,True
2,11,39,11,6,SUPPORT,49,3,4,2275,Shaco,True
1,22,10,4,0,NONE,7,9,4,1669,Yorick,True
13,147,2,2,0,NONE,27,4,4,1669,Taliyah,True
21,80,5,3,1,SOLO,16,0,4,1669,Irelia,True
0,3,8,0,1,CARRY,15,8,4,1669,Draven,True
1,37,35,5,7,SUPPORT,30,7,4,1669,Renata,True
1,39,10,2,1,NONE,23,3,10,1669,Jax,False
0,9,1,8,0,NONE,21,0,10,1669,Viego,False
2,12,9,0,2,SOLO,51,1,10,1669,Syndra,False
7,21,5,1,1,CARRY,26,1,10,1669,Jhin,False
0,21,26,3,0,SUPPORT,34,0,10,1669,Nautilus,False
4,33,10,2,0,SOLO,23,4,8,1803,Irelia,False
10,109,1,7,0,NONE,12,1,8,1803,Naafiri,False
3,46,6,3,2,SOLO,26,0,8,1803,Vex,False
1,11,3,1,0,CARRY,45,1,8,1803,Ashe,False
2,49,36,5,1,SUPPORT,28,0,8,1803,Kennen,False
20,39,9,2,0,SOLO,22,2,6,1803,Jayce,True
6,79,6,5,4,NONE,25,2,6,1803,XinZhao,True
5,18,6,3,4,SOLO,27,6,6,1803,Leblanc,True
0,13,10,0,0,SOLO,10,7,6,1803,Vayne,True
14,33,29,5,4,NONE,37,6,6,1803,Nami,True
6,44,10,4,0,SOLO,15,6,3,1819,DrMundo,True
3,41,0,15,0,NONE,30,0,3,1819,Rengar,True
16,53,16,3,0,SOLO,3,0,3,1819,Katarina,True
8,62,11,4,2,CARRY,25,3,3,1819,Jinx,True
6,49,32,11,5,SUPPORT,48,4,3,1819,Renata,True
15,78,6,9,0,DUO,18,1,6,1819,Darius,False
16,141,8,5,7,NONE,7,1,6,1819,Khazix,False
1,17,12,3,2,DUO,42,1,6,1819,Vex,False
1,10,8,3,0,CARRY,3,0,6,1819,Corki,False
10,54,47,10,13,SUPPORT,78,0,6,1819,Alistar,False
6,44,10,4,0,SOLO,15,6,3,1819,DrMundo,True
3,41,0,15,0,NONE,30,0,3,1819,Rengar,True
16,53,16,3,0,SOLO,3,0,3,1819,Katarina,True
8,62,11,4,2,CARRY,25,3,3,1819,Jinx,True
6,49,32,11,5,SUPPORT,48,4,3,1819,Renata,True
15,78,6,9,0,DUO,18,1,6,1819,Darius,False
16,141,8,5,7,NONE,7,1,6,1819,Khazix,False
1,17,12,3,2,DUO,42,1,6,1819,Vex,False
1,10,8,3,0,CARRY,3,0,6,1819,Corki,False
10,54,47,10,13,SUPPORT,78,0,6,1819,Alistar,False
0,14,8,0,0,SOLO,24,4,4,1843,Aatrox,True
7,89,6,6,4,NONE,19,3,4,1843,Graves,True
5,57,1,5,0,CARRY,54,6,4,1843,Lissandra,True
3,50,10,1,0,SOLO,29,3,4,1843,Senna,True
0,20,34,6,3,SUPPORT,27,3,4,1843,Rell,True
2,19,11,1,0,SOLO,14,0,10,1843,Shen,False
19,106,3,7,1,NONE,4,2,10,1843,MasterYi,False
3,24,6,0,0,SOLO,21,3,10,1843,Leblanc,False
6,76,11,1,0,CARRY,12,0,10,1843,Aphelios,False
9,13,25,6,4,SUPPORT,26,1,10,1843,Lulu,False
2,6,10,1,1,DUO,29,3,2,1775,RekSai,True
8,114,7,3,5,NONE,7,4,2,1775,Khazix,True
3,18,13,1,1,DUO,32,3,2,1775,Lux,True
6,15,8,8,1,CARRY,16,6,2,1775,Smolder,True
4,11,18,2,2,SUPPORT,15,5,2,1775,Yuumi,True
2,5,7,1,0,SOLO,12,1,9,1775,Ambessa,False
3,20,1,3,0,NONE,19,0,9,1775,Brand,False
0,3,9,0,0,SOLO,23,0,9,1775,Morgana,False
2,18,7,2,0,CARRY,10,1,9,1775,Tristana,False
5,10,31,6,5,SUPPORT,20,0,9,1775,Nami,False
3,54,12,2,1,SOLO,13,0,9,1938,Azir,False
3,9,2,7,1,NONE,17,0,9,1938,MonkeyKing,False
8,58,11,2,0,SOLO,16,0,9,1938,Ahri,False
1,14,12,11,1,CARRY,15,1,9,1938,Smolder,False
8,25,50,8,6,SUPPORT,26,1,9,1938,Soraka,False
3,10,12,2,1,SOLO,13,6,1,1938,Irelia,True
10,85,1,7,0,NONE,13,4,1,1938,DrMundo,True
4,42,4,0,0,SOLO,26,2,1,1938,Syndra,True
0,29,10,4,1,CARRY,40,5,1,1938,Swain,True
1,34,45,10,8,SUPPORT,56,3,1,1938,Zac,True
4,22,7,2,0,SOLO,56,4,2,1338,Chogath,True
2,39,1,1,0,NONE,27,3,2,1338,Ekko,True
5,14,7,0,1,SOLO,5,6,2,1338,Vladimir,True
9,29,5,0,0,CARRY,5,3,2,1338,Smolder,True
3,12,18,8,1,SUPPORT,18,3,2,1338,Karma,True
5,30,5,0,0,NONE,2,1,9,1338,Gwen,False
10,63,1,3,1,NONE,24,0,9,1338,RekSai,False
4,60,8,0,0,SOLO,5,1,9,1338,Zed,False
1,1,6,0,1,CARRY,4,0,9,1338,MissFortune,False
1,7,22,7,1,SUPPORT,38,0,9,1338,Bard,False
8,38,5,0,0,SOLO,24,0,10,1387,Shen,False
1,20,6,1,0,NONE,10,0,10,1387,Karthus,False
10,22,5,0,0,DUO,14,0,10,1387,Yasuo,False
9,14,8,1,0,DUO,12,0,10,1387,Caitlyn,False
1,23,24,6,0,SOLO,6,0,10,1387,Sona,False
0,0,5,0,0,SOLO,8,5,0,1387,Gangplank,True
8,51,3,4,2,NONE,14,4,0,1387,Sylas,True
2,16,4,0,0,SOLO,4,2,0,1387,Zed,True
3,8,6,2,0,CARRY,31,6,0,1387,Jhin,True
0,10,20,4,0,SUPPORT,62,3,0,1387,Mel,True
1,24,10,3,0,SOLO,11,4,5,1906,Vladimir,True
3,24,0,2,0,NONE,18,7,5,1906,Viego,True
12,39,10,1,0,SOLO,14,5,5,1906,Aurora,True
17,96,12,2,1,CARRY,17,7,5,1906,Draven,True
5,76,31,7,3,SUPPORT,33,5,5,1906,Milio,True
6,34,5,0,0,SOLO,39,2,12,1906,Sion,False
0,57,10,1,0,NONE,18,0,12,1906,Aatrox,False
9,45,16,3,4,SOLO,58,0,12,1906,Anivia,False
3,31,9,2,0,CARRY,17,2,12,1906,Caitlyn,False
6,14,19,3,1,SUPPORT,39,1,12,1906,Karma,False
0,3,8,2,0,DUO,13,1,10,1721,Vayne,False
11,29,1,0,0,NONE,14,0,10,1721,JarvanIV,False
13,30,14,0,2,DUO,25,0,10,1721,Galio,False
0,17,9,4,0,SOLO,5,1,10,1721,MissFortune,False
1,8,19,5,3,SUPPORT,45,1,10,1721,Swain,False
0,1,6,1,0,SOLO,19,4,2,1721,Pantheon,True
2,11,9,3,0,NONE,13,2,2,1721,Kindred,True
4,13,11,2,2,SOLO,59,4,2,1721,Morgana,True
0,1,9,3,0,CARRY,19,6,2,1721,Caitlyn,True
11,32,28,4,0,SUPPORT,47,3,2,1721,Xerath,True
1,11,7,0,0,SOLO,28,2,2,1842,Yone,True
2,32,6,4,1,NONE,223,0,2,1842,Nocturne,True
5,7,4,5,0,SOLO,53,6,2,1842,Syndra,True
0,12,11,6,4,CARRY,6,5,2,1842,Tristana,True
1,12,28,5,4,SUPPORT,46,2,2,1842,Velkoz,True
0,21,10,2,2,SOLO,19,1,10,1842,Sett,False
10,110,5,1,4,NONE,25,0,10,1842,XinZhao,False
3,105,13,0,2,NONE,36,0,10,1842,Brand,False
1,5,5,3,0,CARRY,10,1,10,1842,MissFortune,False
0,36,43,7,4,SUPPORT,66,0,10,1842,Leona,False
2,13,6,1,1,SOLO,22,0,5,1245,Pantheon,False
14,46,4,2,0,NONE,9,0,5,1245,Qiyana,False
12,50,5,2,0,SOLO,20,0,5,1245,Orianna,False
5,34,7,2,1,CARRY,8,0,5,1245,Vayne,False
9,57,17,6,4,SUPPORT,9,0,5,1245,Pyke,False
2,8,6,0,0,SOLO,20,1,0,1245,Malphite,True
5,94,5,2,3,NONE,9,0,0,1245,Kindred,True
5,38,9,2,2,SOLO,5,2,0,1245,Aurora,True
9,12,6,1,0,CARRY,4,2,0,1245,Twitch,True
0,8,27,5,9,SUPPORT,22,2,0,1245,Lulu,True
1,1,8,1,0,SOLO,33,1,3,1655,Sejuani,False
13,79,7,3,2,NONE,164,0,3,1655,Nocturne,False
11,52,12,1,1,CARRY,36,0,3,1655,Anivia,False
22,65,8,7,0,SOLO,9,0,3,1655,Tristana,False
2,15,23,8,2,SUPPORT,20,0,3,1655,Leblanc,False
6,23,10,0,0,SOLO,28,2,1,1655,Sett,True
5,71,7,1,1,NONE,8,0,1,1655,Zed,True
4,15,10,3,0,SOLO,35,0,1,1655,Taliyah,True
21,36,11,7,1,CARRY,6,2,1,1655,Kaisa,True
17,65,44,3,9,SUPPORT,23,0,1,1655,Karma,True
15,62,15,0,0,SOLO,26,5,5,2354,DrMundo,True
4,96,3,6,2,NONE,30,0,5,2354,Aatrox,True
22,158,12,2,0,SOLO,12,2,5,2354,Smolder,True
3,12,8,1,0,CARRY,50,1,5,2354,Ashe,True
3,56,51,10,11,SUPPORT,89,0,5,2354,Nautilus,True
